ID;Size;Genero_1;Genero_2;Genero_3;Original Release Date;Current Version Release Date
1162617942;52621312; Puzzle; Strategy;;07/10/2016;07/10/2016
1162622110;99857408; Strategy; Entertainment; Casual;25/01/2017;08/10/2017
1162658261;27250688; Puzzle; Strategy;;18/10/2016;04/11/2016
1162763724;348389376; Strategy; Adventure;;13/12/2016;22/12/2016
1162815038;309432320; Action; Entertainment; Strategy;11/10/2016;11/10/2016
1162990411;65677312; Strategy; Entertainment; Card;12/10/2016;30/06/2017
1163084851;91856896; Strategy; Entertainment; Puzzle;08/10/2016;08/10/2016
1163084935;2131968; Entertainment; Trivia; Strategy;07/10/2016;07/10/2016
1163107139;19238912; Strategy; Puzzle;;10/11/2016;10/11/2016
1163116542;161005568; Entertainment; Strategy; Action;07/10/2016;07/10/2016
1163221759;14924800; Strategy; Entertainment; Trivia;02/11/2016;09/05/2017
1163236584;139829248; Entertainment; Strategy; Board;14/10/2016;15/12/2018
1163240549;253040640; Simulation; Strategy;;01/11/2017;31/07/2019
1163319075;13031424; Adventure; Strategy;;17/02/2017;14/06/2019
1163392681;74819584; Strategy;;;14/03/2017;14/03/2017
1163465925;105877504; Strategy; Sports;;11/10/2016;11/10/2016
1163530950;48152576; Sports; Strategy; Sports;21/12/2016;30/07/2019
1163575523;82948096; Strategy; Family;;17/11/2016;14/12/2016
1163575738;83177472; Family; Strategy;;20/11/2016;17/12/2016
1163590581;50784256; Social Networking; Strategy; Sports;10/10/2016;10/10/2016
1163619153;105355264; Entertainment; Strategy; Casual;12/10/2016;14/10/2016
1163620271;116033536; Casual; Strategy; Entertainment;12/10/2016;12/10/2016
1163631977;20385792; Strategy; Casual;;10/10/2016;10/10/2016
1163666551;160972800; Action; Entertainment; Strategy;11/10/2016;11/10/2016
1163667608;32391168; Entertainment; Strategy; Action;11/10/2016;11/10/2016
1163668965;13873152; Strategy;;;20/10/2016;20/10/2016
1163672611;309080064; Puzzle; Strategy; Entertainment;16/10/2016;14/04/2017
1163678609;5668864; Entertainment; Strategy; Puzzle;29/10/2016;29/10/2016
1163679192;12976128; Strategy; Puzzle;;26/10/2016;13/03/2017
1163679360;5603328; Action; Strategy; Entertainment;16/10/2016;16/10/2016
1163679744;5562368; Entertainment; Puzzle; Strategy;16/10/2016;16/10/2016
1163679744;5562368; Entertainment; Puzzle; Strategy;16/10/2016;16/10/2016
1163679754;6545408; Action; Strategy; Entertainment;16/10/2016;16/10/2016
1163680350;6537216; Family; Entertainment; Strategy;15/10/2016;15/10/2016
1163686651;104806400; Strategy; Puzzle;;20/10/2016;20/10/2016
1163730902;35423232; Casual; Strategy; Education;11/10/2016;15/07/2017
1163805393;251348992; Role Playing; Strategy;;13/09/2017;29/07/2019
1163815179;130976768; Puzzle; Strategy; Entertainment;02/01/2017;26/01/2017
1163838446;58021888; Strategy; Education; Puzzle;29/10/2016;10/11/2017
1163865792;26731520; Action; Strategy;;12/10/2016;12/10/2016
1163921878;81512448; Strategy; Action;;11/10/2016;11/10/2016
1163946738;31678464; Strategy; Puzzle;;12/10/2016;30/11/2016
1163990822;86449152; Board; Entertainment; Strategy;12/11/2016;12/09/2017
1164017118;253188096; Puzzle; Strategy;;22/05/2017;05/08/2017
1164017118;253188096; Puzzle; Strategy;;22/05/2017;05/08/2017
1164046790;144761856; Simulation; Strategy;;12/10/2016;25/03/2019
1164263700;48414720; Puzzle; Strategy;;13/10/2016;13/10/2016
1164382319;49044480; Sports; Strategy; Board;15/10/2016;29/11/2018
1164390769;182132736; Strategy; Action;;13/10/2016;13/10/2016
1164407215;150337536; Strategy; Simulation;;01/12/2016;19/01/2018
1164424437;67441664; Strategy; Entertainment; Role Playing;29/10/2016;29/12/2018
1164425232;629185536; Strategy; Role Playing;;12/01/2017;27/02/2019
1164442276;579998720; Strategy; Role Playing;;03/01/2018;03/01/2018
1164492728;99578880; Education; Strategy; Puzzle;14/12/2016;03/10/2017
1164507836;814529536; Simulation; Entertainment; Strategy;22/02/2017;01/08/2019
1164548766;46593024; Board; Strategy;;10/03/2017;15/03/2017
1164765191;31744000; Puzzle; Strategy; Entertainment;13/10/2016;13/10/2016
1164771821;26457088; Strategy; Casual;;25/10/2016;25/10/2016
1164798379;111217664; Entertainment; Simulation; Strategy;01/12/2016;01/12/2016
1164806856;59481088; Simulation; Strategy;;16/10/2016;16/10/2016
1164861766;74007552; Strategy; Entertainment; Action;20/03/2017;12/12/2018
1164866731;64844800; Strategy; Casual;;17/12/2016;21/03/2017
1164875821;22573056; Casino; Strategy; Stickers;14/10/2016;14/10/2016
1164894268;266607616; Entertainment; Strategy; Board;04/09/2017;20/07/2019
1165020960;235241472; Action; Strategy;;18/10/2016;18/10/2016
1165098158;295038976; Strategy; Role Playing; Entertainment;11/11/2016;04/07/2019
1165153111;94179328; Strategy; Word; Education;14/10/2016;14/10/2016
1165303631;43026432; Entertainment; Casual; Strategy;14/10/2016;14/10/2016
1165306534;155752448; Adventure; Strategy;;15/10/2016;26/10/2016
1165347699;22953984; Strategy; Action;;17/10/2016;26/06/2019
1165349054;19586048; Strategy; Action;;18/10/2016;18/10/2016
1165361674;72573952; Strategy; Travel; Simulation;15/10/2016;15/10/2016
